Model,PCA,pi,lambda,C,gamma,G0,G1,Accuracy,Error rate,minDCF
Linear SVM,6,_,_,0.10000,0.00010,_,_,90.968,9.032,0.47242
Linear SVM,6,_,_,0.10000,0.00100,_,_,90.968,9.032,0.47242
Linear SVM,6,_,_,0.10000,0.01000,_,_,90.968,9.032,0.47242
Linear SVM,6,_,_,0.10000,0.10000,_,_,90.968,9.032,0.47242
Linear SVM,6,_,_,0.10000,1.00000,_,_,90.968,9.032,0.47242
GMM Tied Covariance,7,_,_,_,_,2,1,91.699,8.301,0.47270
Radial Basis Function Kernel SVM,0,_,_,0.00100,0.00100,_,_,65.591,34.409,0.47295
MVG with tied covariance,6,0.500,_,_,_,_,_,90.882,9.118,0.47369
GMM Tied Diagonal Covariance,9,_,_,_,_,2,1,90.925,9.075,0.47422
GMM Tied Covariance,8,_,_,_,_,2,1,91.613,8.387,0.47428
Linear SVM,0,_,_,0.10000,0.00010,_,_,91.355,8.645,0.47463
Linear SVM,0,_,_,0.10000,0.00100,_,_,91.355,8.645,0.47463
Linear SVM,0,_,_,0.10000,0.01000,_,_,91.355,8.645,0.47463
Linear SVM,0,_,_,0.10000,0.10000,_,_,91.355,8.645,0.47463
Linear SVM,0,_,_,0.10000,1.00000,_,_,91.355,8.645,0.47463
Linear SVM,9,_,_,0.01000,0.00010,_,_,91.097,8.903,0.47494
Linear SVM,9,_,_,0.01000,0.00100,_,_,91.097,8.903,0.47494
Linear SVM,9,_,_,0.01000,0.01000,_,_,91.097,8.903,0.47494
Linear SVM,9,_,_,0.01000,0.10000,_,_,91.097,8.903,0.47494
Linear SVM,9,_,_,0.01000,1.00000,_,_,91.097,8.903,0.47494
Linear Logistic Regression,7,0.500,0.0000010,_,_,_,_,90.839,9.161,0.47523
Linear Logistic Regression,7,0.500,0.0001000,_,_,_,_,90.839,9.161,0.47523
Linear Logistic Regression,7,0.500,0.0010000,_,_,_,_,90.839,9.161,0.47523
MVG with tied covariance,0,0.500,_,_,_,_,_,90.839,9.161,0.47678
Linear SVM,8,_,_,0.01000,0.00010,_,_,91.269,8.731,0.47744
Linear SVM,8,_,_,0.01000,0.00100,_,_,91.269,8.731,0.47744
Linear SVM,8,_,_,0.01000,0.01000,_,_,91.269,8.731,0.47744
Linear SVM,8,_,_,0.01000,0.10000,_,_,91.269,8.731,0.47744
Linear SVM,8,_,_,0.01000,1.00000,_,_,91.269,8.731,0.47744
GMM Tied Diagonal Covariance,8,_,_,_,_,2,1,90.882,9.118,0.47797
GMM Tied Diagonal Covariance,0,_,_,_,_,8,1,90.366,9.634,0.47832
GMM Diagonal Covariance,5,_,_,_,_,2,1,90.968,9.032,0.47898
Linear Logistic Regression,8,0.500,0.0000010,_,_,_,_,90.882,9.118,0.47961
Linear Logistic Regression,8,0.500,0.0001000,_,_,_,_,90.882,9.118,0.47961
Linear Logistic Regression,8,0.500,0.0010000,_,_,_,_,90.882,9.118,0.47961
Linear SVM,5,_,_,0.01000,0.00010,_,_,90.796,9.204,0.47992
Linear SVM,5,_,_,0.01000,0.00100,_,_,90.796,9.204,0.47992
Linear SVM,5,_,_,0.01000,0.01000,_,_,90.796,9.204,0.47992
Linear SVM,5,_,_,0.01000,0.10000,_,_,90.796,9.204,0.47992
Linear SVM,5,_,_,0.01000,1.00000,_,_,90.796,9.204,0.47992
GMM Tied Diagonal Covariance,7,_,_,_,_,2,1,90.925,9.075,0.48176
Linear SVM,7,_,_,0.10000,0.00010,_,_,90.882,9.118,0.48180
Linear SVM,7,_,_,0.10000,0.00100,_,_,90.882,9.118,0.48180
Linear SVM,7,_,_,0.10000,0.01000,_,_,90.882,9.118,0.48180
Linear SVM,7,_,_,0.10000,0.10000,_,_,90.882,9.118,0.48180
Linear SVM,7,_,_,0.10000,1.00000,_,_,90.882,9.118,0.48180
Linear SVM,8,_,_,0.00100,0.00010,_,_,90.710,9.290,0.48238
Linear SVM,8,_,_,0.00100,0.00100,_,_,90.710,9.290,0.48238
Linear SVM,8,_,_,0.00100,0.01000,_,_,90.710,9.290,0.48238
Linear SVM,8,_,_,0.00100,0.10000,_,_,90.710,9.290,0.48238
Linear SVM,8,_,_,0.00100,1.00000,_,_,90.710,9.290,0.48238
Linear Logistic Regression,6,0.500,1.0000000,_,_,_,_,90.323,9.677,0.48242
GMM Tied Diagonal Covariance,6,_,_,_,_,2,1,91.054,8.946,0.48270
Linear Logistic Regression,8,0.500,0.1000000,_,_,_,_,90.667,9.333,0.48305
Quadratic Logistic Regression,8,0.091,0.0010000,_,_,_,_,94.151,5.849,0.48307
Linear SVM,5,_,_,1.00000,0.00010,_,_,90.624,9.376,0.48369
Linear SVM,5,_,_,1.00000,0.00100,_,_,90.624,9.376,0.48369
Linear SVM,5,_,_,1.00000,0.01000,_,_,90.624,9.376,0.48369
Linear SVM,5,_,_,1.00000,0.10000,_,_,90.624,9.376,0.48369
Linear SVM,5,_,_,1.00000,1.00000,_,_,90.624,9.376,0.48369
Linear Logistic Regression,0,0.500,1.0000000,_,_,_,_,90.065,9.935,0.48430
Linear SVM,7,_,_,1.00000,0.00010,_,_,91.011,8.989,0.48430
Linear SVM,7,_,_,1.00000,0.00100,_,_,91.011,8.989,0.48430
Linear SVM,7,_,_,1.00000,0.01000,_,_,91.011,8.989,0.48430
Linear SVM,7,_,_,1.00000,0.10000,_,_,91.011,8.989,0.48430
Linear SVM,7,_,_,1.00000,1.00000,_,_,91.011,8.989,0.48430
Linear Logistic Regression,7,0.500,1.0000000,_,_,_,_,90.323,9.677,0.48492
Radial Basis Function Kernel SVM,5,_,_,0.00010,0.10000,_,_,65.591,34.409,0.48494
GMM Tied Covariance,6,_,_,_,_,2,1,91.742,8.258,0.48572
Linear SVM,7,_,_,0.00100,0.00010,_,_,90.753,9.247,0.48613
Linear SVM,7,_,_,0.00100,0.00100,_,_,90.753,9.247,0.48613
Linear SVM,7,_,_,0.00100,0.01000,_,_,90.753,9.247,0.48613
Linear SVM,7,_,_,0.00100,0.10000,_,_,90.753,9.247,0.48613
Linear SVM,7,_,_,0.00100,1.00000,_,_,90.753,9.247,0.48613
Linear SVM,5,_,_,0.10000,0.00010,_,_,90.495,9.505,0.48650
Linear SVM,5,_,_,0.10000,0.00100,_,_,90.495,9.505,0.48650
Linear SVM,5,_,_,0.10000,0.01000,_,_,90.495,9.505,0.48650
Linear SVM,5,_,_,0.10000,0.10000,_,_,90.495,9.505,0.48650
Linear SVM,5,_,_,0.10000,1.00000,_,_,90.495,9.505,0.48650
Quadratic Logistic Regression,8,0.100,0.0010000,_,_,_,_,94.151,5.849,0.48652
Quadratic Logistic Regression,8,0.091,0.0001000,_,_,_,_,93.978,6.022,0.48682
Linear Logistic Regression,9,0.500,0.0010000,_,_,_,_,90.710,9.290,0.48742
Linear SVM,9,_,_,0.10000,0.00010,_,_,91.140,8.860,0.48744
Linear SVM,9,_,_,0.10000,0.00100,_,_,91.140,8.860,0.48744
Linear SVM,9,_,_,0.10000,0.01000,_,_,91.140,8.860,0.48744
Linear SVM,9,_,_,0.10000,0.10000,_,_,91.140,8.860,0.48744
Linear SVM,9,_,_,0.10000,1.00000,_,_,91.140,8.860,0.48744
Linear Logistic Regression,5,0.500,0.0000010,_,_,_,_,90.323,9.677,0.48836
Linear Logistic Regression,5,0.500,0.0001000,_,_,_,_,90.323,9.677,0.48836
Linear Logistic Regression,5,0.500,0.0010000,_,_,_,_,90.323,9.677,0.48836
GMM Tied Diagonal Covariance,5,_,_,_,_,2,1,90.667,9.333,0.48861
Linear Logistic Regression,9,0.500,0.0000010,_,_,_,_,90.710,9.290,0.48867
Linear Logistic Regression,9,0.500,0.0001000,_,_,_,_,90.710,9.290,0.48867
Linear SVM,6,_,_,0.00100,0.00010,_,_,90.710,9.290,0.48926
Linear SVM,6,_,_,0.00100,0.00100,_,_,90.710,9.290,0.48926
Linear SVM,6,_,_,0.00100,0.01000,_,_,90.710,9.290,0.48926
Linear SVM,6,_,_,0.00100,0.10000,_,_,90.710,9.290,0.48926
Linear SVM,6,_,_,0.00100,1.00000,_,_,90.710,9.290,0.48926
Linear SVM,0,_,_,0.00100,0.00010,_,_,90.882,9.118,0.48994
Linear SVM,0,_,_,0.00100,0.00100,_,_,90.882,9.118,0.48994
Linear SVM,0,_,_,0.00100,0.01000,_,_,90.882,9.118,0.48994
Linear SVM,0,_,_,0.00100,0.10000,_,_,90.882,9.118,0.48994
Linear SVM,0,_,_,0.00100,1.00000,_,_,90.882,9.118,0.48994
Linear SVM,9,_,_,1.00000,0.00010,_,_,91.226,8.774,0.48994
Linear SVM,9,_,_,1.00000,0.00100,_,_,91.226,8.774,0.48994
Linear SVM,9,_,_,1.00000,0.01000,_,_,91.226,8.774,0.48994
Linear SVM,9,_,_,1.00000,0.10000,_,_,91.226,8.774,0.48994
Linear SVM,9,_,_,1.00000,1.00000,_,_,91.226,8.774,0.48994
MVG with tied covariance,5,0.500,_,_,_,_,_,90.452,9.548,0.48994
Linear SVM,8,_,_,0.10000,0.00010,_,_,91.312,8.688,0.49023
Linear SVM,8,_,_,0.10000,0.00100,_,_,91.312,8.688,0.49023
Linear SVM,8,_,_,0.10000,0.01000,_,_,91.312,8.688,0.49023
Linear SVM,8,_,_,0.10000,0.10000,_,_,91.312,8.688,0.49023
Linear SVM,8,_,_,0.10000,1.00000,_,_,91.312,8.688,0.49023
Quadratic Logistic Regression,8,0.100,0.0001000,_,_,_,_,94.194,5.806,0.49027
Quadratic Logistic Regression,8,0.100,0.0000010,_,_,_,_,94.194,5.806,0.49152
GMM Tied Covariance,5,_,_,_,_,2,1,91.441,8.559,0.49172
Linear Logistic Regression,8,0.500,1.0000000,_,_,_,_,90.065,9.935,0.49303
Linear Logistic Regression,5,0.500,0.1000000,_,_,_,_,90.237,9.763,0.49305
Linear Logistic Regression,9,0.500,0.1000000,_,_,_,_,90.538,9.462,0.49336
Linear SVM,8,_,_,1.00000,0.00010,_,_,91.269,8.731,0.49336
Linear SVM,8,_,_,1.00000,0.00100,_,_,91.269,8.731,0.49336
Linear SVM,8,_,_,1.00000,0.01000,_,_,91.269,8.731,0.49336
Linear SVM,8,_,_,1.00000,0.10000,_,_,91.269,8.731,0.49336
Linear SVM,8,_,_,1.00000,1.00000,_,_,91.269,8.731,0.49336
Quadratic Logistic Regression,8,0.091,0.0000010,_,_,_,_,93.935,6.065,0.49432
Quadratic Logistic Regression,7,0.100,0.0010000,_,_,_,_,93.935,6.065,0.49527
Quadratic Logistic Regression,7,0.100,0.0000010,_,_,_,_,93.849,6.151,0.49553
Quadratic Logistic Regression,7,0.100,0.0001000,_,_,_,_,93.892,6.108,0.49553
Linear SVM,5,_,_,0.00100,0.00010,_,_,90.667,9.333,0.49740
Linear SVM,5,_,_,0.00100,0.00100,_,_,90.667,9.333,0.49740
Linear SVM,5,_,_,0.00100,0.01000,_,_,90.667,9.333,0.49740
Linear SVM,5,_,_,0.00100,0.10000,_,_,90.667,9.333,0.49740
Linear SVM,5,_,_,0.00100,1.00000,_,_,90.667,9.333,0.49740
Linear SVM,9,_,_,0.00100,0.00010,_,_,90.624,9.376,0.49773
Linear SVM,9,_,_,0.00100,0.00100,_,_,90.624,9.376,0.49773
Linear SVM,9,_,_,0.00100,0.01000,_,_,90.624,9.376,0.49773
Linear SVM,9,_,_,0.00100,0.10000,_,_,90.624,9.376,0.49773
Linear SVM,9,_,_,0.00100,1.00000,_,_,90.624,9.376,0.49773
Polynomial Kernel SVM,8,_,_,1.00000,0.00010,_,_,82.409,17.591,0.50334
Polynomial Kernel SVM,8,_,_,1.00000,0.00100,_,_,82.409,17.591,0.50334
Polynomial Kernel SVM,8,_,_,1.00000,0.01000,_,_,82.409,17.591,0.50334
Polynomial Kernel SVM,8,_,_,1.00000,0.10000,_,_,82.409,17.591,0.50334
Polynomial Kernel SVM,8,_,_,1.00000,1.00000,_,_,82.409,17.591,0.50334
GMM Full Covariance,0,_,_,_,_,4,2,87.312,12.688,0.50484
Linear Logistic Regression,9,0.500,1.0000000,_,_,_,_,89.849,10.151,0.50492
Quadratic Logistic Regression,7,0.091,0.0010000,_,_,_,_,93.892,6.108,0.50740
Quadratic Logistic Regression,7,0.091,0.0001000,_,_,_,_,93.849,6.151,0.50865
Linear Logistic Regression,5,0.500,1.0000000,_,_,_,_,90.022,9.978,0.50959
Quadratic Logistic Regression,7,0.091,0.0000010,_,_,_,_,93.849,6.151,0.50990
GMM Full Covariance,8,_,_,_,_,4,2,86.882,13.118,0.51016
GMM Full Covariance,9,_,_,_,_,4,2,86.839,13.161,0.51076
Quadratic Logistic Regression,0,0.100,0.0001000,_,_,_,_,94.452,5.548,0.51107
Quadratic Logistic Regression,0,0.100,0.0010000,_,_,_,_,94.452,5.548,0.51152
Quadratic Logistic Regression,8,0.100,0.1000000,_,_,_,_,93.763,6.237,0.51152
Quadratic Logistic Regression,0,0.100,0.0000010,_,_,_,_,94.409,5.591,0.51232
GMM Full Covariance,7,_,_,_,_,4,2,87.011,12.989,0.51234
Quadratic Logistic Regression,8,0.091,0.1000000,_,_,_,_,93.462,6.538,0.51432
Quadratic Logistic Regression,5,0.100,0.0000010,_,_,_,_,93.763,6.237,0.51553
Quadratic Logistic Regression,5,0.100,0.0001000,_,_,_,_,93.763,6.237,0.51553
Quadratic Logistic Regression,0,0.091,0.0010000,_,_,_,_,94.323,5.677,0.51557
GMM Full Covariance,6,_,_,_,_,4,2,86.925,13.075,0.51578
Quadratic Logistic Regression,0,0.091,0.0000010,_,_,_,_,94.323,5.677,0.51932
GMM Tied Covariance,7,_,_,_,_,4,2,86.667,13.333,0.52148
Linear Logistic Regression,5,0.500,10.0000000,_,_,_,_,89.204,10.796,0.52234
Quadratic Logistic Regression,0,0.091,0.0001000,_,_,_,_,94.366,5.634,0.52307
Quadratic Logistic Regression,5,0.091,0.0000010,_,_,_,_,93.634,6.366,0.52740
GMM Tied Covariance,8,_,_,_,_,4,2,86.452,13.548,0.52834
Quadratic Logistic Regression,5,0.091,0.0001000,_,_,_,_,93.677,6.323,0.52865
GMM Tied Covariance,0,_,_,_,_,4,2,86.452,13.548,0.53020
GMM Tied Covariance,9,_,_,_,_,4,2,86.280,13.720,0.53209
Quadratic Logistic Regression,9,0.100,0.0001000,_,_,_,_,94.065,5.935,0.53357
Quadratic Logistic Regression,6,0.100,0.0010000,_,_,_,_,93.978,6.022,0.53428
Linear Logistic Regression,6,0.500,10.0000000,_,_,_,_,89.247,10.753,0.53428
Quadratic Logistic Regression,5,0.100,0.0010000,_,_,_,_,93.720,6.280,0.53428
GMM Tied Covariance,6,_,_,_,_,4,2,86.796,13.204,0.53459
Linear Logistic Regression,9,0.500,10.0000000,_,_,_,_,89.075,10.925,0.53461
Quadratic Logistic Regression,9,0.100,0.0000010,_,_,_,_,94.065,5.935,0.53482
GMM Full Covariance,7,_,_,_,_,8,2,87.742,12.258,0.53600
GMM Tied Covariance,6,_,_,_,_,1,1,89.720,10.280,0.53797
Quadratic Logistic Regression,9,0.100,0.0010000,_,_,_,_,94.237,5.763,0.53857
Linear Logistic Regression,0,0.500,10.0000000,_,_,_,_,88.989,11.011,0.53865
Linear Logistic Regression,7,0.500,10.0000000,_,_,_,_,89.290,10.710,0.53865
Quadratic Logistic Regression,6,0.100,0.0000010,_,_,_,_,93.892,6.108,0.53875
Quadratic Logistic Regression,6,0.091,0.0000010,_,_,_,_,93.892,6.108,0.53875
Linear Logistic Regression,8,0.500,10.0000000,_,_,_,_,89.204,10.796,0.53961
GMM Full Covariance,7,_,_,_,_,1,1,89.333,10.667,0.54018
Quadratic Logistic Regression,6,0.100,0.0001000,_,_,_,_,93.892,6.108,0.54053
Quadratic Logistic Regression,5,0.091,0.0010000,_,_,_,_,93.677,6.323,0.54115
GMM Tied Covariance,9,_,_,_,_,1,1,89.720,10.280,0.54205
GMM Full Covariance,6,_,_,_,_,8,2,87.613,12.387,0.54230
Naive Bayes with tied covariance,0,0.500,_,_,_,_,_,88.473,11.527,0.54330
GMM Diagonal Covariance,0,_,_,_,_,4,1,90.237,9.763,0.54580
GMM Tied Covariance,5,_,_,_,_,1,1,89.376,10.624,0.54984
GMM Full Covariance,8,_,_,_,_,1,1,89.247,10.753,0.54986
GMM Full Covariance,5,_,_,_,_,4,2,86.796,13.204,0.55045
Quadratic Logistic Regression,6,0.091,0.0001000,_,_,_,_,93.892,6.108,0.55057
Quadratic Logistic Regression,6,0.091,0.0010000,_,_,_,_,93.978,6.022,0.55057
GMM Full Covariance,9,_,_,_,_,1,1,89.333,10.667,0.55078
Quadratic Logistic Regression,9,0.091,0.0010000,_,_,_,_,94.065,5.935,0.55115
Linear SVM,0,_,_,0.00010,0.00010,_,_,88.989,11.011,0.55139
Linear SVM,0,_,_,0.00010,0.00100,_,_,88.989,11.011,0.55139
Linear SVM,0,_,_,0.00010,0.01000,_,_,88.989,11.011,0.55139
Linear SVM,0,_,_,0.00010,0.10000,_,_,88.989,11.011,0.55139
Linear SVM,0,_,_,0.00010,1.00000,_,_,88.989,11.011,0.55139
Linear SVM,9,_,_,0.00010,0.00010,_,_,88.430,11.570,0.55295
Linear SVM,9,_,_,0.00010,0.00100,_,_,88.430,11.570,0.55295
Linear SVM,9,_,_,0.00010,0.01000,_,_,88.430,11.570,0.55295
Linear SVM,9,_,_,0.00010,0.10000,_,_,88.430,11.570,0.55295
Linear SVM,9,_,_,0.00010,1.00000,_,_,88.430,11.570,0.55295
GMM Tied Covariance,7,_,_,_,_,1,1,89.720,10.280,0.55295
GMM Full Covariance,6,_,_,_,_,1,1,89.333,10.667,0.55361
GMM Full Covariance,0,_,_,_,_,1,1,89.892,10.108,0.55391
Quadratic Logistic Regression,9,0.091,0.0001000,_,_,_,_,94.151,5.849,0.55480
GMM Diagonal Covariance,7,_,_,_,_,1,1,87.226,12.774,0.55545
Naive Bayes with tied covariance,5,0.500,_,_,_,_,_,89.161,10.839,0.55582
Quadratic Logistic Regression,9,0.091,0.0000010,_,_,_,_,93.978,6.022,0.55605
GMM Tied Covariance,0,_,_,_,_,1,1,89.763,10.237,0.55641
GMM Diagonal Covariance,8,_,_,_,_,1,1,87.183,12.817,0.55701
Naive Bayes with tied covariance,9,0.500,_,_,_,_,_,89.118,10.882,0.55770
Radial Basis Function Kernel SVM,6,_,_,0.01000,0.00010,_,_,65.591,34.409,0.55793
GMM Tied Covariance,8,_,_,_,_,1,1,89.763,10.237,0.55859
Naive Bayes with tied covariance,8,0.500,_,_,_,_,_,89.204,10.796,0.55865
Naive Bayes with tied covariance,6,0.500,_,_,_,_,_,89.290,10.710,0.55895
GMM Diagonal Covariance,6,_,_,_,_,1,1,87.011,12.989,0.55920
GMM Diagonal Covariance,9,_,_,_,_,1,1,87.140,12.860,0.55984
Radial Basis Function Kernel SVM,9,_,_,0.01000,0.00010,_,_,65.591,34.409,0.56135
Linear SVM,6,_,_,0.00010,0.00010,_,_,89.032,10.968,0.56203
Linear SVM,6,_,_,0.00010,0.00100,_,_,89.032,10.968,0.56203
Linear SVM,6,_,_,0.00010,0.01000,_,_,89.032,10.968,0.56203
Linear SVM,6,_,_,0.00010,0.10000,_,_,89.032,10.968,0.56203
Linear SVM,6,_,_,0.00010,1.00000,_,_,89.032,10.968,0.56203
GMM Diagonal Covariance,5,_,_,_,_,1,1,87.226,12.774,0.56262
Naive Bayes with tied covariance,7,0.500,_,_,_,_,_,89.204,10.796,0.56270
Linear SVM,7,_,_,0.00010,0.00010,_,_,88.430,11.570,0.56385
Linear SVM,7,_,_,0.00010,0.00100,_,_,88.430,11.570,0.56385
Linear SVM,7,_,_,0.00010,0.01000,_,_,88.430,11.570,0.56385
Linear SVM,7,_,_,0.00010,0.10000,_,_,88.430,11.570,0.56385
Linear SVM,7,_,_,0.00010,1.00000,_,_,88.430,11.570,0.56385
Linear SVM,8,_,_,0.00010,0.00010,_,_,88.387,11.613,0.56391
Linear SVM,8,_,_,0.00010,0.00100,_,_,88.387,11.613,0.56391
Linear SVM,8,_,_,0.00010,0.01000,_,_,88.387,11.613,0.56391
Linear SVM,8,_,_,0.00010,0.10000,_,_,88.387,11.613,0.56391
Linear SVM,8,_,_,0.00010,1.00000,_,_,88.387,11.613,0.56391
GMM Full Covariance,5,_,_,_,_,1,1,89.376,10.624,0.56449
GMM Tied Diagonal Covariance,9,_,_,_,_,4,2,86.237,13.763,0.56547
GMM Tied Diagonal Covariance,5,_,_,_,_,1,1,86.968,13.032,0.56549
GMM Tied Diagonal Covariance,8,_,_,_,_,4,2,86.237,13.763,0.56582
Quadratic SVM,7,_,_,1.00000,0.00010,_,_,82.925,17.075,0.56605
Quadratic SVM,7,_,_,1.00000,0.00100,_,_,82.925,17.075,0.56605
Quadratic SVM,7,_,_,1.00000,0.01000,_,_,82.925,17.075,0.56605
Quadratic SVM,7,_,_,1.00000,0.10000,_,_,82.925,17.075,0.56605
Quadratic SVM,7,_,_,1.00000,1.00000,_,_,82.925,17.075,0.56605
Radial Basis Function Kernel SVM,0,_,_,0.01000,0.00010,_,_,65.591,34.409,0.56635
GMM Diagonal Covariance,0,_,_,_,_,2,1,89.376,10.624,0.56639
Linear SVM,5,_,_,0.00010,0.00010,_,_,88.774,11.226,0.56672
Linear SVM,5,_,_,0.00010,0.00100,_,_,88.774,11.226,0.56672
Linear SVM,5,_,_,0.00010,0.01000,_,_,88.774,11.226,0.56672
Linear SVM,5,_,_,0.00010,0.10000,_,_,88.774,11.226,0.56672
Linear SVM,5,_,_,0.00010,1.00000,_,_,88.774,11.226,0.56672
Linear Logistic Regression,0,0.500,100.0000000,_,_,_,_,88.258,11.742,0.56701
GMM Tied Diagonal Covariance,7,_,_,_,_,1,1,87.183,12.817,0.56705
GMM Tied Diagonal Covariance,7,_,_,_,_,4,2,86.065,13.935,0.56705
Linear Logistic Regression,8,0.500,100.0000000,_,_,_,_,88.559,11.441,0.56764
GMM Tied Diagonal Covariance,8,_,_,_,_,1,1,87.097,12.903,0.56793
Linear Logistic Regression,7,0.500,100.0000000,_,_,_,_,88.516,11.484,0.56795
Linear Logistic Regression,6,0.500,100.0000000,_,_,_,_,88.473,11.527,0.56795
GMM Tied Diagonal Covariance,0,_,_,_,_,4,1,89.419,10.581,0.56828
GMM Tied Diagonal Covariance,6,_,_,_,_,4,2,85.978,14.022,0.56828
GMM Tied Diagonal Covariance,9,_,_,_,_,1,1,87.140,12.860,0.56887
Linear Logistic Regression,9,0.500,100.0000000,_,_,_,_,88.473,11.527,0.56920
Linear Logistic Regression,5,0.500,100.0000000,_,_,_,_,88.215,11.785,0.56951
GMM Tied Diagonal Covariance,6,_,_,_,_,1,1,87.140,12.860,0.56955
GMM Full Covariance,5,_,_,_,_,8,2,87.312,12.688,0.57016
GMM Diagonal Covariance,0,_,_,_,_,8,1,89.591,10.409,0.57145
Radial Basis Function Kernel SVM,8,_,_,0.01000,0.00010,_,_,65.591,34.409,0.57322
Quadratic Logistic Regression,8,0.100,1.0000000,_,_,_,_,93.075,6.925,0.57402
GMM Diagonal Covariance,0,_,_,_,_,1,1,88.946,11.054,0.57424
Radial Basis Function Kernel SVM,8,_,_,0.00100,0.00010,_,_,65.591,34.409,0.57461
Quadratic Logistic Regression,9,0.100,0.1000000,_,_,_,_,93.720,6.280,0.57527
Quadratic SVM,0,_,_,1.00000,0.00010,_,_,79.527,20.473,0.57541
Quadratic SVM,0,_,_,1.00000,0.00100,_,_,79.527,20.473,0.57541
Quadratic SVM,0,_,_,1.00000,0.01000,_,_,79.527,20.473,0.57541
Quadratic SVM,0,_,_,1.00000,0.10000,_,_,79.527,20.473,0.57541
Quadratic SVM,0,_,_,1.00000,1.00000,_,_,79.527,20.473,0.57541
Quadratic Logistic Regression,8,0.091,1.0000000,_,_,_,_,92.731,7.269,0.57557
Quadratic Logistic Regression,7,0.100,0.1000000,_,_,_,_,93.677,6.323,0.57652
Quadratic Logistic Regression,6,0.100,10.0000000,_,_,_,_,92.043,7.957,0.57705
Radial Basis Function Kernel SVM,5,_,_,0.01000,0.00010,_,_,65.591,34.409,0.57916
GMM Tied Diagonal Covariance,5,_,_,_,_,4,2,85.677,14.323,0.57922
GMM Full Covariance,8,_,_,_,_,8,2,87.527,12.473,0.58137
Quadratic Logistic Regression,7,0.091,0.1000000,_,_,_,_,93.505,6.495,0.58182
GMM Tied Diagonal Covariance,0,_,_,_,_,1,1,88.774,11.226,0.58201
Quadratic Logistic Regression,9,0.091,0.1000000,_,_,_,_,93.462,6.538,0.58432
GMM Tied Diagonal Covariance,0,_,_,_,_,2,1,89.204,10.796,0.58480
Radial Basis Function Kernel SVM,7,_,_,0.00100,0.00010,_,_,65.591,34.409,0.58484
Radial Basis Function Kernel SVM,0,_,_,0.00100,0.00010,_,_,65.591,34.409,0.58770
Quadratic Logistic Regression,7,0.100,1.0000000,_,_,_,_,92.774,7.226,0.58955
Quadratic Logistic Regression,7,0.100,10.0000000,_,_,_,_,92.172,7.828,0.58955
GMM Diagonal Covariance,9,_,_,_,_,4,2,84.989,15.011,0.59131
GMM Diagonal Covariance,6,_,_,_,_,4,2,85.032,14.968,0.59133
GMM Tied Covariance,6,_,_,_,_,8,2,86.237,13.763,0.59145
GMM Diagonal Covariance,5,_,_,_,_,4,2,84.731,15.269,0.59232
GMM Diagonal Covariance,7,_,_,_,_,4,2,84.946,15.054,0.59293
GMM Full Covariance,9,_,_,_,_,8,2,87.656,12.344,0.59332
GMM Diagonal Covariance,8,_,_,_,_,4,2,84.817,15.183,0.59357
Radial Basis Function Kernel SVM,7,_,_,0.01000,0.00010,_,_,65.591,34.409,0.59363
Quadratic Logistic Regression,6,0.100,0.1000000,_,_,_,_,93.806,6.194,0.59402
Quadratic Logistic Regression,6,0.091,10.0000000,_,_,_,_,91.613,8.387,0.59422
MVG,6,0.100,_,_,_,_,_,94.366,5.634,0.59678
GMM Tied Covariance,7,_,_,_,_,8,2,86.495,13.505,0.59766
Quadratic Logistic Regression,9,0.100,10.0000000,_,_,_,_,92.000,8.000,0.59928
Quadratic Logistic Regression,5,0.100,1.0000000,_,_,_,_,92.215,7.785,0.59928
Quadratic Logistic Regression,6,0.091,0.1000000,_,_,_,_,93.376,6.624,0.59932
Quadratic Logistic Regression,5,0.100,0.1000000,_,_,_,_,92.903,7.097,0.59955
Radial Basis Function Kernel SVM,9,_,_,0.00100,0.00010,_,_,65.591,34.409,0.59990
Quadratic Logistic Regression,5,0.100,10.0000000,_,_,_,_,91.699,8.301,0.60053
GMM Tied Diagonal Covariance,6,_,_,_,_,4,8,84.903,15.097,0.60109
Quadratic Logistic Regression,8,0.100,10.0000000,_,_,_,_,92.258,7.742,0.60178
MVG,8,0.100,_,_,_,_,_,94.409,5.591,0.60250
MVG,8,0.091,_,_,_,_,_,94.409,5.591,0.60250
Quadratic Logistic Regression,7,0.091,10.0000000,_,_,_,_,91.699,8.301,0.60297
Quadratic Logistic Regression,6,0.100,1.0000000,_,_,_,_,92.989,7.011,0.60330
GMM Tied Covariance,9,_,_,_,_,8,2,85.849,14.151,0.60395
GMM Tied Covariance,8,_,_,_,_,8,2,85.978,14.022,0.60453
GMM Tied Diagonal Covariance,6,_,_,_,_,4,4,84.387,15.613,0.60609
GMM Tied Diagonal Covariance,9,_,_,_,_,8,2,85.978,14.022,0.60613
MVG,7,0.100,_,_,_,_,_,94.366,5.634,0.60625
MVG,7,0.091,_,_,_,_,_,94.366,5.634,0.60625
Quadratic Logistic Regression,0,0.091,0.1000000,_,_,_,_,93.849,6.151,0.60682
Radial Basis Function Kernel SVM,5,_,_,0.00100,0.00010,_,_,65.591,34.409,0.60709
Radial Basis Function Kernel SVM,6,_,_,0.00100,0.00010,_,_,65.591,34.409,0.60830
GMM Tied Diagonal Covariance,8,_,_,_,_,8,2,86.194,13.806,0.60832
